Point ID,Easting,Northing,Elevation,H. Precision,V. Precision,PDOP,Sats,Datetime,Timestamp
nor3-1,245657.565,5182502.115,90.291,0.011,0.022,1.251,23.0,2023-07-25 14:50:16,1690296616
nor3-2,245657.565,5182502.117,90.284,0.011,0.022,1.251,23.0,2023-07-25 14:50:17,1690296617
nor3-3,245657.565,5182502.117,90.277,0.011,0.022,1.251,23.0,2023-07-25 14:50:18,1690296618
nor3-4,245657.564,5182502.117,90.287,0.011,0.022,1.251,23.0,2023-07-25 14:50:19,1690296619
nor3-5,245657.563,5182502.12,90.285,0.011,0.022,1.251,23.0,2023-07-25 14:50:20,1690296620
nor3-6,245657.565,5182502.117,90.294,0.011,0.023,1.251,23.0,2023-07-25 14:50:21,1690296621
nor3-7,245657.565,5182502.116,90.286,0.011,0.022,1.251,23.0,2023-07-25 14:50:22,1690296622
nor3-8,245657.563,5182502.115,90.28,0.011,0.022,1.251,23.0,2023-07-25 14:50:23,1690296623
nor3-9,245657.568,5182502.117,90.282,0.011,0.022,1.251,23.0,2023-07-25 14:50:24,1690296624
nor3-10,245657.564,5182502.113,90.277,0.011,0.022,1.251,23.0,2023-07-25 14:50:25,1690296625
nor3-11,245657.564,5182502.119,90.283,0.011,0.022,1.251,23.0,2023-07-25 14:50:26,1690296626
nor3-12,245657.562,5182502.118,90.28,0.011,0.023,1.251,23.0,2023-07-25 14:50:27,1690296627
nor3-13,245657.563,5182502.118,90.274,0.011,0.023,1.251,23.0,2023-07-25 14:50:28,1690296628
nor3-14,245657.563,5182502.117,90.284,0.011,0.023,1.251,23.0,2023-07-25 14:50:29,1690296629
nor3-15,245657.563,5182502.112,90.28,0.011,0.023,1.251,23.0,2023-07-25 14:50:30,1690296630
nor3-16,245657.563,5182502.115,90.283,0.011,0.022,1.251,23.0,2023-07-25 14:50:31,1690296631
nor3-17,245657.563,5182502.119,90.286,0.011,0.023,1.25,23.0,2023-07-25 14:50:32,1690296632
nor3-18,245657.561,5182502.117,90.28,0.011,0.022,1.25,23.0,2023-07-25 14:50:33,1690296633
nor3-19,245657.563,5182502.116,90.283,0.011,0.022,1.25,23.0,2023-07-25 14:50:34,1690296634
nor3-20,245657.563,5182502.116,90.276,0.011,0.022,1.25,23.0,2023-07-25 14:50:35,1690296635
nor3-21,245657.564,5182502.113,90.272,0.011,0.023,1.25,23.0,2023-07-25 14:50:36,1690296636
nor3-22,245657.558,5182502.114,90.273,0.011,0.023,1.25,23.0,2023-07-25 14:50:37,1690296637
nor3-23,245657.558,5182502.116,90.264,0.011,0.023,1.25,23.0,2023-07-25 14:50:38,1690296638
nor3-24,245657.563,5182502.118,90.271,0.011,0.023,1.25,23.0,2023-07-25 14:50:39,1690296639
