Point ID;Easting;Northing;Elevation;H. Precision;V. Precision;PDOP;Sats;Date;Time
nor2-1;245657.182;5182502.846;90.24;0.016;0.03;1.394;18;2023-07-25;14:50:16
nor2-2;245657.18;5182502.847;90.242;0.016;0.03;1.394;18;2023-07-25;14:50:17
nor2-3;245657.182;5182502.846;90.245;0.016;0.03;1.394;18;2023-07-25;14:50:18
nor2-4;245657.179;5182502.848;90.251;0.016;0.03;1.394;18;2023-07-25;14:50:19
nor2-5;245657.178;5182502.854;90.248;0.016;0.03;1.394;18;2023-07-25;14:50:20
nor2-6;245657.181;5182502.851;90.253;0.016;0.03;1.393;18;2023-07-25;14:50:21
nor2-7;245657.181;5182502.847;90.253;0.016;0.03;1.393;18;2023-07-25;14:50:22
nor2-8;245657.18;5182502.851;90.255;0.016;0.03;1.393;18;2023-07-25;14:50:23
nor2-9;245657.182;5182502.843;90.246;0.016;0.03;1.393;18;2023-07-25;14:50:24
nor2-10;245657.178;5182502.846;90.24;0.016;0.03;1.393;18;2023-07-25;14:50:25
nor2-11;245657.177;5182502.848;90.241;0.017;0.03;1.393;18;2023-07-25;14:50:26
nor2-12;245657.178;5182502.85;90.249;0.016;0.03;1.393;18;2023-07-25;14:50:27
nor2-13;245657.175;5182502.851;90.244;0.016;0.031;1.393;18;2023-07-25;14:50:28
nor2-14;245657.175;5182502.848;90.24;0.016;0.03;1.393;18;2023-07-25;14:50:29
nor2-15;245657.174;5182502.847;90.242;0.016;0.03;1.393;18;2023-07-25;14:50:30
nor2-16;245657.173;5182502.848;90.238;0.016;0.03;1.393;18;2023-07-25;14:50:31
nor2-17;245657.175;5182502.855;90.249;0.017;0.03;1.393;18;2023-07-25;14:50:32
nor2-18;245657.175;5182502.852;90.243;0.016;0.03;1.392;18;2023-07-25;14:50:33
nor2-19;245657.175;5182502.851;90.234;0.016;0.03;1.392;18;2023-07-25;14:50:34
nor2-20;245657.177;5182502.85;90.232;0.016;0.03;1.392;18;2023-07-25;14:50:35
nor2-21;245657.178;5182502.846;90.226;0.016;0.03;1.392;18;2023-07-25;14:50:36
nor2-22;245657.175;5182502.85;90.233;0.016;0.03;1.392;18;2023-07-25;14:50:37
nor2-23;245657.172;5182502.852;90.227;0.016;0.03;1.392;18;2023-07-25;14:50:38
nor2-24;245657.178;5182502.854;90.234;0.016;0.03;1.392;18;2023-07-25;14:50:39
nor2-25;245657.178;5182502.851;90.233;0.016;0.03;1.392;18;2023-07-25;14:50:40
nor2-26;245657.179;5182502.852;90.232;0.016;0.03;1.392;18;2023-07-25;14:50:41
nor2-27;245657.177;5182502.853;90.235;0.016;0.03;1.392;18;2023-07-25;14:50:42
nor2-28;245657.177;5182502.851;90.236;0.016;0.03;1.392;18;2023-07-25;14:50:43
nor2-29;245657.177;5182502.851;90.232;0.016;0.03;1.392;18;2023-07-25;14:50:44
nor2-30;245657.178;5182502.852;90.244;0.016;0.03;1.391;18;2023-07-25;14:50:45
nor2-31;245657.177;5182502.85;90.237;0.016;0.03;1.391;18;2023-07-25;14:50:46
nor2-32;245657.176;5182502.851;90.241;0.016;0.03;1.391;18;2023-07-25;14:50:47
nor2-33;245657.176;5182502.848;90.242;0.016;0.03;1.391;18;2023-07-25;14:50:48
nor2-34;245657.181;5182502.854;90.247;0.016;0.03;1.391;18;2023-07-25;14:50:49
nor2-35;245657.181;5182502.852;90.238;0.016;0.03;1.391;18;2023-07-25;14:50:50
nor2-36;245657.181;5182502.853;90.236;0.016;0.03;1.391;18;2023-07-25;14:50:51
nor2-37;245657.18;5182502.854;90.248;0.016;0.03;1.391;18;2023-07-25;14:50:52
nor2-38;245657.178;5182502.852;90.246;0.016;0.03;1.391;18;2023-07-25;14:50:53
nor2-39;245657.178;5182502.854;90.253;0.016;0.03;1.391;18;2023-07-25;14:50:54
nor2-40;245657.184;5182502.853;90.249;0.016;0.03;1.39;18;2023-07-25;14:50:55
nor2-41;245657.183;5182502.855;90.243;0.017;0.032;1.39;18;2023-07-25;14:50:56
nor2-42;245657.181;5182502.856;90.248;0.017;0.031;1.39;18;2023-07-25;14:50:57
nor2-43;245657.179;5182502.852;90.247;0.017;0.032;1.39;18;2023-07-25;14:50:58
nor2-44;245657.181;5182502.853;90.238;0.017;0.031;1.39;18;2023-07-25;14:50:59
nor2-45;245657.178;5182502.85;90.233;0.017;0.031;1.39;18;2023-07-25;14:51:00
nor2-46;245657.181;5182502.853;90.239;0.017;0.031;1.39;18;2023-07-25;14:51:01
nor2-47;245657.18;5182502.852;90.24;0.017;0.031;1.39;18;2023-07-25;14:51:02
nor2-48;245657.177;5182502.851;90.237;0.017;0.031;1.39;18;2023-07-25;14:51:03
nor2-49;245657.177;5182502.851;90.235;0.016;0.03;1.39;18;2023-07-25;14:51:04
nor2-50;245657.176;5182502.849;90.237;0.016;0.03;1.39;18;2023-07-25;14:51:05
nor2-51;245657.177;5182502.854;90.234;0.016;0.03;1.39;18;2023-07-25;14:51:06
nor2-52;245657.179;5182502.854;90.237;0.016;0.03;1.39;18;2023-07-25;14:51:07
