Point ID;Easting;Northing;Elevation;H. Precision;V. Precision;PDOP;Sats;Date;Time
nor1-1;245658.108;5182502.399;90.189;0.011;0.022;1.251;23;2023-07-25;14:50:16
nor1-2;245658.106;5182502.401;90.19;0.011;0.022;1.251;23;2023-07-25;14:50:17
nor1-3;245658.106;5182502.4;90.183;0.011;0.022;1.251;23;2023-07-25;14:50:18
nor1-4;245658.104;5182502.399;90.187;0.011;0.022;1.251;23;2023-07-25;14:50:19
nor1-5;245658.103;5182502.402;90.186;0.011;0.022;1.251;23;2023-07-25;14:50:20
nor1-6;245658.105;5182502.402;90.19;0.011;0.022;1.251;23;2023-07-25;14:50:21
nor1-7;245658.106;5182502.401;90.191;0.011;0.022;1.251;23;2023-07-25;14:50:22
nor1-8;245658.106;5182502.401;90.188;0.011;0.022;1.251;23;2023-07-25;14:50:23
nor1-9;245658.109;5182502.4;90.185;0.011;0.022;1.251;23;2023-07-25;14:50:24
nor1-10;245658.105;5182502.399;90.178;0.011;0.022;1.251;23;2023-07-25;14:50:25
nor1-11;245658.105;5182502.402;90.176;0.011;0.022;1.251;23;2023-07-25;14:50:26
nor1-12;245658.104;5182502.402;90.178;0.011;0.023;1.251;23;2023-07-25;14:50:27
nor1-13;245658.1;5182502.401;90.179;0.011;0.023;1.251;23;2023-07-25;14:50:28
nor1-14;245658.104;5182502.399;90.178;0.011;0.023;1.251;23;2023-07-25;14:50:29
nor1-15;245658.103;5182502.397;90.178;0.011;0.023;1.251;23;2023-07-25;14:50:30
nor1-16;245658.101;5182502.397;90.18;0.011;0.023;1.251;23;2023-07-25;14:50:31
nor1-17;245658.102;5182502.402;90.183;0.011;0.023;1.25;23;2023-07-25;14:50:32
nor1-18;245658.101;5182502.4;90.178;0.011;0.023;1.25;23;2023-07-25;14:50:33
nor1-19;245658.1;5182502.403;90.183;0.011;0.023;1.25;23;2023-07-25;14:50:34
nor1-20;245658.102;5182502.4;90.174;0.011;0.023;1.25;23;2023-07-25;14:50:35
nor1-21;245658.103;5182502.399;90.175;0.011;0.023;1.25;23;2023-07-25;14:50:36
nor1-22;245658.101;5182502.402;90.177;0.011;0.023;1.25;23;2023-07-25;14:50:37
nor1-23;245658.099;5182502.404;90.168;0.011;0.023;1.25;23;2023-07-25;14:50:38
nor1-24;245658.106;5182502.404;90.175;0.011;0.023;1.25;23;2023-07-25;14:50:39
nor1-25;245658.106;5182502.404;90.182;0.011;0.023;1.25;23;2023-07-25;14:50:40
nor1-26;245658.106;5182502.404;90.178;0.011;0.023;1.25;23;2023-07-25;14:50:41
nor1-27;245658.106;5182502.404;90.176;0.011;0.023;1.25;23;2023-07-25;14:50:42
nor1-28;245658.105;5182502.402;90.186;0.011;0.023;1.25;23;2023-07-25;14:50:43
nor1-29;245658.107;5182502.402;90.177;0.011;0.023;1.25;23;2023-07-25;14:50:44
nor1-30;245658.106;5182502.403;90.177;0.011;0.023;1.25;23;2023-07-25;14:50:45
nor1-31;245658.105;5182502.404;90.177;0.011;0.023;1.25;23;2023-07-25;14:50:46
nor1-32;245658.104;5182502.401;90.173;0.011;0.024;1.25;23;2023-07-25;14:50:47
nor1-33;245658.105;5182502.401;90.185;0.011;0.023;1.25;23;2023-07-25;14:50:48
