3.2933770966227307 -0.02061333404311043 -0.060649731248041884 1.0 1.832300097906178e-16 8.468469035782903e-15 6.8941925520859306e-12 8.468469035782903e-15 6.1854985152546486e-12 5.012638673661044e-09 6.8941925520859306e-12 5.012638673661044e-09 4.069205257893116e-06 
3.963548511842027 0.3244508093098521 -0.3592545985969194 1.0 1.7664124016784147e-16 2.8462041130090496e-15 2.0818408563282875e-12 2.8462041130090496e-15 7.526635745850494e-12 5.426541440862736e-09 2.0818408563282875e-12 5.426541440862736e-09 3.9183391737102345e-06 
3.0062686574494597 0.7219108143885116 -0.40387811937011453 1.0 1.7638426233122293e-16 1.0893491186453025e-14 5.5720418950948925e-12 1.0893491186453025e-14 1.6065376156714516e-11 8.243096871112708e-09 5.5720418950948925e-12 8.243096871112708e-09 4.23245397470549e-06 
2.9107707335383717 0.18838697934097423 -0.714095989900008 1.0 1.7806948713459161e-16 3.645528162117646e-16 1.3184624942203294e-12 3.645528162117646e-16 3.1268112188884914e-13 1.0889908272559188e-09 1.3184624942203294e-12 1.0889908272559188e-09 3.923185334268658e-06 
3.683144656418446 0.1383806485040208 -0.6168186411060044 1.0 1.8107743915146137e-16 6.135992557485165e-17 4.4793092986498277e-13 6.135992557485165e-17 3.269589052879612e-13 1.1290658679685328e-09 4.4793092986498277e-13 1.1290658679685328e-09 4.0449313766510155e-06 
3.6038662890428714 0.6476442651092925 -0.5973312954897053 1.0 1.7086425840010676e-16 -1.3895926797158705e-17 1.2309533543491847e-13 -1.3895926797158705e-17 3.174364768686002e-13 1.1094249939065269e-09 1.2309533543491847e-13 1.1094249939065269e-09 4.00792294947645e-06 
2.9789909089322895 0.35501408831387865 -0.7432097290049416 1 0 0 0 0 0 0 0 0 0 
3.8786115514993713 0.25489952371866653 -1.168250636945697 1 0 0 0 0 0 0 0 0 0 
2.833166880917751 -0.6313486036914173 -0.8195248171178464 11 0 0 0 0 0 0 0 0 0 
2.5673866665818315 0.4856498941864631 -1.6451610768630873 1 0 0 0 0 0 0 0 0 0 
