Point ID,Easting,Northing,Elevation,H. Precision,V. Precision,PDOP,Sats,Datetime,Timestamp
nor1-2000,245659.489,5182498.051,90.187,0.011,0.024,1.333,21.0,2023-07-25 15:14:57,1690298097
nor1-2001,245659.489,5182498.05,90.189,0.011,0.024,1.333,21.0,2023-07-25 15:14:58,1690298098
nor1-2002,245659.486,5182498.045,90.191,0.011,0.023,1.333,21.0,2023-07-25 15:14:59,1690298099
nor1-2003,245659.488,5182498.047,90.194,0.011,0.023,1.333,21.0,2023-07-25 15:15:00,1690298100
nor1-2004,245659.483,5182498.047,90.189,0.011,0.023,1.333,21.0,2023-07-25 15:15:01,1690298101
nor1-2005,245659.487,5182498.046,90.186,0.011,0.023,1.333,21.0,2023-07-25 15:15:02,1690298102
nor1-2006,245659.486,5182498.042,90.182,0.011,0.024,1.332,21.0,2023-07-25 15:15:03,1690298103
nor1-2007,245659.483,5182498.044,90.179,0.011,0.023,1.332,21.0,2023-07-25 15:15:04,1690298104
nor1-2008,245659.488,5182498.051,90.19,0.011,0.023,1.332,21.0,2023-07-25 15:15:05,1690298105
nor1-2009,245659.487,5182498.046,90.183,0.011,0.023,1.332,21.0,2023-07-25 15:15:06,1690298106
nor1-2010,245659.486,5182498.046,90.184,0.011,0.023,1.332,21.0,2023-07-25 15:15:07,1690298107
nor1-2011,245659.486,5182498.041,90.179,0.011,0.023,1.332,21.0,2023-07-25 15:15:08,1690298108
nor1-2012,245659.483,5182498.046,90.182,0.011,0.023,1.332,21.0,2023-07-25 15:15:09,1690298109
nor1-2013,245659.486,5182498.046,90.186,0.011,0.023,1.332,21.0,2023-07-25 15:15:10,1690298110
nor1-2014,245659.483,5182498.047,90.191,0.011,0.023,1.332,21.0,2023-07-25 15:15:11,1690298111
nor1-2015,245659.485,5182498.045,90.188,0.011,0.023,1.332,21.0,2023-07-25 15:15:12,1690298112
nor1-2016,245659.483,5182498.045,90.187,0.011,0.023,1.332,21.0,2023-07-25 15:15:13,1690298113
nor1-2017,245659.486,5182498.043,90.179,0.011,0.023,1.332,21.0,2023-07-25 15:15:14,1690298114
nor1-2018,245659.484,5182498.044,90.187,0.011,0.023,1.331,21.0,2023-07-25 15:15:15,1690298115
nor1-2019,245659.487,5182498.041,90.19,0.011,0.023,1.331,21.0,2023-07-25 15:15:16,1690298116
nor1-2020,245659.484,5182498.043,90.18,0.011,0.023,1.331,21.0,2023-07-25 15:15:17,1690298117
nor1-2021,245659.483,5182498.047,90.185,0.011,0.023,1.331,21.0,2023-07-25 15:15:18,1690298118
nor1-2022,245659.487,5182498.048,90.192,0.011,0.023,1.331,21.0,2023-07-25 15:15:19,1690298119
nor1-2023,245659.483,5182498.045,90.185,0.011,0.023,1.331,21.0,2023-07-25 15:15:20,1690298120
nor1-2024,245659.483,5182498.045,90.188,0.011,0.023,1.331,21.0,2023-07-25 15:15:21,1690298121
nor1-2025,245659.483,5182498.049,90.19,0.011,0.023,1.331,21.0,2023-07-25 15:15:22,1690298122
nor1-2026,245659.484,5182498.045,90.189,0.011,0.023,1.331,21.0,2023-07-25 15:15:23,1690298123
nor1-2027,245659.487,5182498.048,90.195,0.011,0.023,1.331,21.0,2023-07-25 15:15:24,1690298124
nor1-2028,245659.485,5182498.051,90.185,0.011,0.023,1.331,21.0,2023-07-25 15:15:25,1690298125
nor1-2029,245659.483,5182498.046,90.182,0.011,0.023,1.331,21.0,2023-07-25 15:15:26,1690298126
nor1-2030,245659.484,5182498.048,90.191,0.011,0.023,1.33,21.0,2023-07-25 15:15:27,1690298127
nor1-2031,245659.483,5182498.045,90.188,0.012,0.023,1.33,21.0,2023-07-25 15:15:28,1690298128
nor1-2032,245659.482,5182498.043,90.186,0.011,0.023,1.33,21.0,2023-07-25 15:15:29,1690298129
nor1-2033,245659.482,5182498.045,90.185,0.011,0.023,1.33,21.0,2023-07-25 15:15:30,1690298130
nor1-2034,245659.481,5182498.046,90.183,0.011,0.022,1.33,21.0,2023-07-25 15:15:31,1690298131
nor1-2035,245659.482,5182498.042,90.185,0.011,0.022,1.33,21.0,2023-07-25 15:15:32,1690298132
nor1-2036,245659.483,5182498.042,90.186,0.011,0.022,1.33,21.0,2023-07-25 15:15:33,1690298133
nor1-2037,245659.484,5182498.044,90.186,0.011,0.022,1.33,21.0,2023-07-25 15:15:34,1690298134
nor1-2038,245659.481,5182498.044,90.179,0.011,0.022,1.33,21.0,2023-07-25 15:15:35,1690298135
nor1-2039,245659.476,5182498.037,90.175,0.011,0.022,1.33,21.0,2023-07-25 15:15:36,1690298136
nor1-2040,245659.466,5182498.028,90.188,0.011,0.022,1.329,21.0,2023-07-25 15:15:37,1690298137
nor1-2041,245659.466,5182498.03,90.179,0.011,0.023,1.329,21.0,2023-07-25 15:15:38,1690298138
nor1-2042,245659.468,5182498.033,90.177,0.011,0.023,1.329,21.0,2023-07-25 15:15:39,1690298139
nor1-2043,245659.472,5182498.036,90.185,0.011,0.023,1.329,21.0,2023-07-25 15:15:40,1690298140
nor1-2044,245659.471,5182498.038,90.183,0.011,0.023,1.329,21.0,2023-07-25 15:15:41,1690298141
nor1-2045,245659.471,5182498.033,90.184,0.011,0.023,1.329,22.0,2023-07-25 15:15:42,1690298142
nor1-2046,245659.472,5182498.037,90.18,0.011,0.023,1.234,22.0,2023-07-25 15:15:43,1690298143
nor1-2047,245659.473,5182498.034,90.181,0.011,0.023,1.396,20.0,2023-07-25 15:15:44,1690298144
nor1-2048,245659.475,5182498.035,90.184,0.011,0.023,1.396,20.0,2023-07-25 15:15:45,1690298145
nor1-2049,245659.473,5182498.036,90.174,0.011,0.023,1.396,20.0,2023-07-25 15:15:46,1690298146
nor1-2050,245659.472,5182498.034,90.183,0.011,0.023,1.234,21.0,2023-07-25 15:15:47,1690298147
nor1-2051,245659.475,5182498.039,90.191,0.011,0.023,1.234,22.0,2023-07-25 15:15:48,1690298148
nor1-2052,245659.472,5182498.032,90.186,0.011,0.023,1.291,22.0,2023-07-25 15:15:49,1690298149
nor1-2053,245659.473,5182498.032,90.187,0.011,0.023,1.291,22.0,2023-07-25 15:15:50,1690298150
nor1-2054,245659.471,5182498.029,90.176,0.011,0.022,1.291,22.0,2023-07-25 15:15:51,1690298151
nor1-2055,245659.903,5182497.41,90.193,0.012,0.025,1.291,21.0,2023-07-25 15:15:52,1690298152
nor1-2056,245660.504,5182496.549,90.212,0.012,0.024,1.327,20.0,2023-07-25 15:15:53,1690298153
nor1-2057,245661.137,5182495.764,90.2,0.011,0.023,1.327,20.0,2023-07-25 15:15:54,1690298154
nor1-2058,245661.749,5182495.042,90.211,0.011,0.023,1.426,21.0,2023-07-25 15:15:55,1690298155
nor1-2059,245662.287,5182494.247,90.185,0.013,0.025,1.426,21.0,2023-07-25 15:15:56,1690298156
nor1-2060,245662.941,5182493.333,90.218,0.013,0.026,1.327,20.0,2023-07-25 15:15:57,1690298157
nor1-2061,245663.565,5182492.36,90.244,0.016,0.031,1.327,19.0,2023-07-25 15:15:58,1690298158
nor1-2062,245664.161,5182491.328,90.233,0.014,0.027,1.519,19.0,2023-07-25 15:15:59,1690298159
nor1-2063,245664.758,5182490.28,90.236,0.014,0.026,1.519,20.0,2023-07-25 15:16:00,1690298160
nor1-2064,245665.29,5182489.249,90.243,0.014,0.027,1.425,20.0,2023-07-25 15:16:01,1690298161
nor1-2065,245665.82,5182488.224,90.236,0.015,0.03,1.425,20.0,2023-07-25 15:16:02,1690298162
nor1-2066,245666.468,5182487.224,90.253,0.016,0.032,1.425,19.0,2023-07-25 15:16:03,1690298163
nor1-2067,245667.113,5182486.207,90.261,0.017,0.034,1.425,21.0,2023-07-25 15:16:04,1690298164
nor1-2068,245667.815,5182485.137,90.281,0.015,0.031,1.327,20.0,2023-07-25 15:16:05,1690298165
nor1-2069,245668.496,5182484.077,90.293,0.015,0.031,1.327,19.0,2023-07-25 15:16:06,1690298166
nor1-2070,245669.157,5182483.09,90.324,0.016,0.032,1.565,19.0,2023-07-25 15:16:07,1690298167
nor1-2071,245669.921,5182482.105,90.299,0.015,0.03,1.565,18.0,2023-07-25 15:16:08,1690298168
nor1-2072,245670.627,5182481.165,90.267,0.015,0.028,1.425,17.0,2023-07-25 15:16:09,1690298169
nor1-2073,245671.209,5182480.174,90.281,0.016,0.033,1.425,18.0,2023-07-25 15:16:10,1690298170
nor1-2074,245671.761,5182479.249,90.291,0.016,0.032,1.425,17.0,2023-07-25 15:16:11,1690298171
nor1-2075,245672.372,5182478.359,90.272,0.021,0.041,1.425,17.0,2023-07-25 15:16:12,1690298172
nor1-2076,245673.008,5182477.449,90.297,0.018,0.034,1.564,18.0,2023-07-25 15:16:13,1690298173
nor1-2077,245673.683,5182476.544,90.206,0.018,0.036,1.564,19.0,2023-07-25 15:16:14,1690298174
nor1-2078,245674.408,5182475.651,90.207,0.017,0.032,1.517,19.0,2023-07-25 15:16:15,1690298175
nor1-2079,245675.072,5182474.852,90.232,0.016,0.033,1.517,19.0,2023-07-25 15:16:16,1690298176
nor1-2080,245675.723,5182473.987,90.239,0.015,0.029,1.517,19.0,2023-07-25 15:16:17,1690298177
nor1-2081,245676.435,5182473.116,90.258,0.016,0.029,1.517,19.0,2023-07-25 15:16:18,1690298178
nor1-2082,245677.11,5182472.231,90.272,0.016,0.029,1.517,19.0,2023-07-25 15:16:19,1690298179
nor1-2083,245677.739,5182471.416,90.259,0.016,0.031,1.517,19.0,2023-07-25 15:16:20,1690298180
nor1-2084,245678.371,5182470.604,90.256,0.016,0.03,1.424,20.0,2023-07-25 15:16:21,1690298181
nor1-2085,245679.035,5182469.73,90.242,0.015,0.03,1.424,19.0,2023-07-25 15:16:22,1690298182
nor1-2086,245679.626,5182468.885,90.223,0.017,0.034,1.562,19.0,2023-07-25 15:16:23,1690298183
nor1-2087,245680.186,5182468.104,90.252,0.016,0.034,1.562,19.0,2023-07-25 15:16:24,1690298184
nor1-2088,245680.775,5182467.25,90.218,0.015,0.031,1.517,18.0,2023-07-25 15:16:25,1690298185
nor1-2089,245681.329,5182466.415,90.222,0.017,0.034,1.517,17.0,2023-07-25 15:16:26,1690298186
nor1-2090,245681.962,5182465.513,90.234,0.017,0.035,1.562,18.0,2023-07-25 15:16:27,1690298187
nor1-2091,245682.672,5182464.551,90.241,0.018,0.036,1.562,17.0,2023-07-25 15:16:28,1690298188
nor1-2092,245683.389,5182463.624,90.222,0.018,0.038,1.675,18.0,2023-07-25 15:16:29,1690298189
nor1-2093,245684.097,5182462.701,90.222,0.017,0.036,1.675,18.0,2023-07-25 15:16:30,1690298190
nor1-2094,245684.763,5182461.841,90.223,0.015,0.03,1.674,19.0,2023-07-25 15:16:31,1690298191
nor1-2095,245685.412,5182460.958,90.238,0.014,0.026,1.674,19.0,2023-07-25 15:16:32,1690298192
nor1-2096,245685.997,5182460.149,90.262,0.015,0.029,1.422,19.0,2023-07-25 15:16:33,1690298193
nor1-2097,245686.624,5182459.251,90.277,0.015,0.028,1.422,19.0,2023-07-25 15:16:34,1690298194
nor1-2098,245687.227,5182458.319,90.262,0.013,0.025,1.422,20.0,2023-07-25 15:16:35,1690298195
nor1-2099,245687.829,5182457.31,90.288,0.012,0.023,1.422,19.0,2023-07-25 15:16:36,1690298196
nor1-2100,245688.403,5182456.354,90.288,0.012,0.022,1.56,19.0,2023-07-25 15:16:37,1690298197
nor1-2101,245689.052,5182455.271,90.265,0.012,0.024,1.56,20.0,2023-07-25 15:16:38,1690298198
nor1-2102,245689.857,5182454.119,90.273,0.012,0.024,1.422,18.0,2023-07-25 15:16:39,1690298199
nor1-2103,245690.535,5182453.155,90.257,0.012,0.024,1.422,18.0,2023-07-25 15:16:40,1690298200
nor1-2104,245691.36,5182452.156,90.267,0.012,0.023,1.56,18.0,2023-07-25 15:16:41,1690298201
nor1-2105,245692.204,5182451.131,90.266,0.012,0.023,1.56,19.0,2023-07-25 15:16:42,1690298202
nor1-2106,245693.033,5182450.18,90.278,0.012,0.024,1.421,18.0,2023-07-25 15:16:43,1690298203
nor1-2107,245693.877,5182449.198,90.313,0.012,0.024,1.421,18.0,2023-07-25 15:16:44,1690298204
nor1-2108,245694.57,5182448.296,90.331,0.012,0.023,1.515,19.0,2023-07-25 15:16:45,1690298205
nor1-2109,245695.268,5182447.383,90.352,0.012,0.023,1.515,19.0,2023-07-25 15:16:46,1690298206
nor1-2110,245696.075,5182446.365,90.347,0.011,0.021,1.515,19.0,2023-07-25 15:16:47,1690298207
nor1-2111,245696.785,5182445.413,90.333,0.013,0.023,1.515,19.0,2023-07-25 15:16:48,1690298208
nor1-2112,245697.527,5182444.492,90.352,0.011,0.021,1.515,19.0,2023-07-25 15:16:49,1690298209
nor1-2113,245698.251,5182443.537,90.354,0.012,0.022,1.515,19.0,2023-07-25 15:16:50,1690298210
nor1-2114,245698.981,5182442.552,90.352,0.014,0.025,1.421,20.0,2023-07-25 15:16:51,1690298211
nor1-2115,245699.777,5182441.48,90.354,0.014,0.025,1.421,20.0,2023-07-25 15:16:52,1690298212
nor1-2116,245700.577,5182440.413,90.347,0.012,0.023,1.421,20.0,2023-07-25 15:16:53,1690298213
nor1-2117,245701.234,5182439.531,90.364,0.012,0.023,1.421,20.0,2023-07-25 15:16:54,1690298214
nor1-2118,245701.92,5182438.613,90.363,0.015,0.025,1.42,20.0,2023-07-25 15:16:55,1690298215
nor1-2119,245702.561,5182437.633,90.378,0.015,0.026,1.42,20.0,2023-07-25 15:16:56,1690298216
nor1-2120,245703.318,5182436.641,90.381,0.014,0.025,1.42,19.0,2023-07-25 15:16:57,1690298217
nor1-2121,245704.117,5182435.713,90.343,0.014,0.026,1.42,19.0,2023-07-25 15:16:58,1690298218
nor1-2122,245705.006,5182434.681,90.354,0.015,0.029,1.42,20.0,2023-07-25 15:16:59,1690298219
nor1-2123,245705.896,5182433.716,90.36,0.014,0.025,1.42,20.0,2023-07-25 15:17:00,1690298220
nor1-2124,245706.76,5182432.803,90.354,0.012,0.021,1.42,20.0,2023-07-25 15:17:01,1690298221
nor1-2125,245707.58,5182431.956,90.359,0.014,0.024,1.42,20.0,2023-07-25 15:17:02,1690298222
nor1-2126,245708.326,5182431.013,90.364,0.014,0.026,1.42,21.0,2023-07-25 15:17:03,1690298223
nor1-2127,245709.092,5182429.961,90.357,0.014,0.024,1.42,20.0,2023-07-25 15:17:04,1690298224
nor1-2128,245709.901,5182428.914,90.325,0.014,0.025,1.433,19.0,2023-07-25 15:17:05,1690298225
nor1-2129,245710.648,5182427.898,90.342,0.013,0.022,1.433,20.0,2023-07-25 15:17:06,1690298226
nor1-2130,245711.4,5182426.866,90.346,0.012,0.02,1.433,19.0,2023-07-25 15:17:07,1690298227
nor1-2131,245712.112,5182425.858,90.351,0.012,0.02,1.433,20.0,2023-07-25 15:17:08,1690298228
nor1-2132,245712.88,5182424.839,90.331,0.013,0.021,1.433,20.0,2023-07-25 15:17:09,1690298229
nor1-2133,245713.691,5182423.897,90.327,0.012,0.02,1.433,20.0,2023-07-25 15:17:10,1690298230
nor1-2134,245714.49,5182422.945,90.309,0.012,0.02,1.433,20.0,2023-07-25 15:17:11,1690298231
nor1-2135,245715.374,5182421.916,90.306,0.011,0.02,1.433,20.0,2023-07-25 15:17:12,1690298232
nor1-2136,245716.211,5182420.953,90.305,0.011,0.02,1.433,20.0,2023-07-25 15:17:13,1690298233
nor1-2137,245717.042,5182420.008,90.318,0.011,0.019,1.433,20.0,2023-07-25 15:17:14,1690298234
