"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 00:00","2022","11","01","00:00","5,2","","2,9","","85","","","","36","","2","","24,1","","100,45","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 01:00","2022","11","01","01:00","5,7","","2,4","","79","","","","36","","1","","24,1","","100,45","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 02:00","2022","11","01","02:00","4,9","","2,9","","87","","","","14","","3","","24,1","","100,45","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 03:00","2022","11","01","03:00","4,8","","3,0","","88","","","","31","","4","","24,1","","100,43","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 04:00","2022","11","01","04:00","5,0","","3,4","","89","","","","36","","3","","24,1","","100,45","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 05:00","2022","11","01","05:00","4,4","","3,2","","92","","","","36","","2","","24,1","","100,46","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 06:00","2022","11","01","06:00","3,3","","2,4","","94","","","","1","","3","","48,3","","100,49","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 07:00","2022","11","01","07:00","3,4","","2,1","","91","","","","33","","3","","40,2","","100,54","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 08:00","2022","11","01","08:00","6,7","","4,8","","87","","","","30","","3","","40,2","","100,58","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 09:00","2022","11","01","09:00","9,0","","4,1","","72","","","","25","","5","","40,2","","100,57","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 10:00","2022","11","01","10:00","9,5","","4,2","","70","","","","36","","2","","40,2","","100,59","","","","","","Nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 11:00","2022","11","01","11:00","11,7","","5,4","","65","","","","22","","13","","40,2","","100,54","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 12:00","2022","11","01","12:00","11,8","","7,8","","76","","","","22","","14","","32,2","","100,47","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 13:00","2022","11","01","13:00","11,4","","8,6","","83","","","","21","","12","","32,2","","100,41","","","","","","Nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 14:00","2022","11","01","14:00","11,1","","9,2","","88","","","","26","","14","","32,2","","100,43","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 15:00","2022","11","01","15:00","10,9","","9,3","","90","","","","25","","14","","20,9","","100,42","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 16:00","2022","11","01","16:00","10,9","","9,6","","91","","","","23","","12","","12,9","","100,44","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-11-01 17:00","2022","11","01","17:00","10,4","","9,5","","94","","","","21","","13","","6,4","","100,50","","","","","","Brouillard"
