"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 00:00","2022","03","01","00:00","-18,4","","-22,0","","74","","","","23","","12","","24,1","","101,61","","","","-26","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 01:00","2022","03","01","01:00","-19,5","","-22,8","","76","","","","26","","18","","24,1","","101,63","","","","-29","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 02:00","2022","03","01","02:00","-18,8","","-21,7","","78","","","","25","","4","","24,1","","101,66","","","","-22","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 03:00","2022","03","01","03:00","-21,1","","-23,1","","84","","","","7","","4","","24,1","","101,63","","","","-25","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 04:00","2022","03","01","04:00","-22,3","","-24,7","","81","","","","1","","5","","24,1","","101,59","","","","-27","","Généralement dégagé"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 05:00","2022","03","01","05:00","-22,6","","-25,1","","80","","","","36","","1","","24,1","","101,60","","","","-24","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 06:00","2022","03","01","06:00","-24,3","","-26,8","","80","","","","35","","4","","32,2","","101,58","","","","-28","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 07:00","2022","03","01","07:00","-22,7","","-25,3","","80","","","","36","","2","","32,2","","101,61","","","","-25","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 08:00","2022","03","01","08:00","-20,5","","-24,3","","72","","","","5","","7","","48,3","","101,56","","","","-26","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 09:00","2022","03","01","09:00","-17,5","","-22,1","","67","","","","5","","8","","40,2","","101,48","","","","-23","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 10:00","2022","03","01","10:00","-15,1","","-20,2","","65","","","","6","","9","","40,2","","101,39","","","","-21","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 11:00","2022","03","01","11:00","-12,8","","-19,3","","59","","","","7","","12","","32,2","","101,29","","","","-19","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 12:00","2022","03","01","12:00","-11,6","","-18,6","","57","","","","7","","15","","32,2","","101,09","","","","-19","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 13:00","2022","03","01","13:00","-10,4","","-17,9","","54","","","","5","","15","","32,2","","100,90","","","","-17","","Nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 14:00","2022","03","01","14:00","-9,6","","-16,2","","59","","","","7","","18","","8,1","","100,77","","","","-17","","Neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 15:00","2022","03","01","15:00","-9,7","","-12,4","","81","","","","7","","19","","2,0","","100,66","","","","-17","","Neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 16:00","2022","03","01","16:00","-9,8","","-11,6","","87","","","","7","","21","","1,6","","100,55","","","","-18","","Neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 17:00","2022","03","01","17:00","-9,5","","-11,1","","88","","","","7","","18","","1,2","","100,47","","","","-17","","Neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 18:00","2022","03","01","18:00","-9,3","","-10,9","","88","","","","6","","26","","1,6","","100,43","","","","-18","","Neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 19:00","2022","03","01","19:00","-9,1","","-10,6","","88","","","","7","","24","","2,0","","100,37","","","","-17","","Neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 20:00","2022","03","01","20:00","-8,6","","-9,9","","90","","","","7","","21","","2,4","","100,29","","","","-16","","Neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 21:00","2022","03","01","21:00","-8,0","","-9,3","","91","","","","6","","15","","2,0","","100,23","","","","-14","","Neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 22:00","2022","03","01","22:00","-7,8","","-9,0","","92","","","","4","","7","","2,0","","100,15","","","","-11","","Neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-01 23:00","2022","03","01","23:00","-7,5","","-8,6","","91","","","","34","","3","","4,8","","100,09","","","","-9","","Neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-02 00:00","2022","03","02","00:00","-7,5","","-8,6","","91","","","","34","","4","","4,8","","100,06","","","","-10","","Neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-02 01:00","2022","03","02","01:00","-7,8","","-8,8","","92","","","","36","","2","","6,4","","100,05","","","","-9","","Neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-02 02:00","2022","03","02","02:00","-7,4","","-8,6","","91","","","","24","","11","","9,7","","100,09","","","","-12","","Neige"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-02 03:00","2022","03","02","03:00","-8,4","","-9,9","","89","","","","24","","14","","24,1","","100,14","","","","-15","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-02 04:00","2022","03","02","04:00","-10,9","","-12,6","","88","","","","24","","13","","24,1","","100,19","","","","-17","","Généralement dégagé"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-02 05:00","2022","03","02","05:00","-13,4","","-14,8","","89","","","","23","","18","","24,1","","100,27","","","","-22","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-03-02 06:00","2022","03","02","06:00","-12,7","","-14,8","","84","","","","23","","20","","48,3","","100,32","","","","-21","","ND"
