"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 00:00","2022","02","01","00:00","-19,9","","-24,1","","70","","","","1","","8","","24,1","","102,53","","","","-26","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 01:00","2022","02","01","01:00","-24,3","","-27,6","","74","","","","36","","3","","24,1","","102,58","","","","-27","","Dégagé"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 02:00","2022","02","01","02:00","-19,1","","-23,9","","66","","","","1","","10","","24,1","","102,68","","","","-26","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 03:00","2022","02","01","03:00","-20,5","","-24,9","","69","","","","36","","9","","24,1","","102,71","","","","-27","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 04:00","2022","02","01","04:00","-20,6","","-24,8","","70","","","","36","","11","","24,1","","102,76","","","","-28","","Dégagé"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 05:00","2022","02","01","05:00","-21,0","","-24,9","","72","","","","1","","11","","24,1","","102,76","","","","-29","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 06:00","2022","02","01","06:00","-21,3","","-25,0","","73","","","","2","","8","","24,1","","102,78","","","","-28","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 07:00","2022","02","01","07:00","-20,6","","-24,2","","73","","","","36","","11","","24,1","","102,88","","","","-28","","Généralement dégagé"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 08:00","2022","02","01","08:00","-20,2","","-24,1","","71","","","","1","","10","","24,1","","102,88","","","","-27","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 09:00","2022","02","01","09:00","-19,2","","-23,8","","68","","","","4","","8","","24,1","","102,89","","","","-25","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 10:00","2022","02","01","10:00","-15,2","","-19,4","","71","","","","5","","13","","24,1","","102,88","","","","-23","","Généralement dégagé"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 11:00","2022","02","01","11:00","-12,3","","-16,5","","72","","","","8","","16","","24,1","","102,82","","","","-20","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 12:00","2022","02","01","12:00","-11,1","","-15,9","","68","","","","8","","18","","48,3","","102,65","","","","-19","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 13:00","2022","02","01","13:00","-9,8","","-14,7","","68","","","","8","","18","","24,1","","102,56","","","","-17","","Généralement dégagé"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-02-01 14:00","2022","02","01","14:00","-9,4","","-14,2","","68","","","","5","","19","","24,1","","102,46","","","","-17","","ND"
