"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 00:00","2022","07","01","00:00","14,8","","13,7","","93","","","","3","","7","","16,1","","100,73","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 01:00","2022","07","01","01:00","14,5","","14,1","","97","","","","32","","8","","16,1","","100,70","","","","","","Averses de pluie"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 02:00","2022","07","01","02:00","14,9","","13,8","","93","","","","1","","7","","16,1","","100,56","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 03:00","2022","07","01","03:00","14,5","","13,8","","95","","","","2","","9","","9,7","","100,47","","","","","","Averses de pluie"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 04:00","2022","07","01","04:00","14,2","","13,4","","95","","","","35","","7","","48,3","","100,44","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 05:00","2022","07","01","05:00","14,3","","13,4","","94","","","","35","","7","","48,3","","100,40","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 06:00","2022","07","01","06:00","15,8","","14,1","","89","","","","5","","3","","48,3","","100,34","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 07:00","2022","07","01","07:00","17,5","","14,3","","81","","","","5","","3","","48,3","","100,31","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 08:00","2022","07","01","08:00","18,5","","15,0","","80","","","","36","","3","","48,3","","100,27","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 09:00","2022","07","01","09:00","20,6","","15,7","","73","","","","27","","4","","48,3","","100,21","","25","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 10:00","2022","07","01","10:00","22,4","","17,5","","73","","","","26","","8","","48,3","","100,20","","28","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 11:00","2022","07","01","11:00","23,9","","17,3","","66","","","","27","","21","","40,2","","100,16","","29","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 12:00","2022","07","01","12:00","23,6","","17,3","","68","","","","23","","18","","48,3","","100,05","","29","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 13:00","2022","07","01","13:00","23,2","","18,2","","73","","","","26","","24","","48,3","","100,07","","29","","","","Nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 14:00","2022","07","01","14:00","23,4","","18,0","","71","","","","25","","18","","48,3","","100,03","","29","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 15:00","2022","07","01","15:00","23,6","","17,7","","69","","","","24","","19","","48,3","","100,01","","29","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 16:00","2022","07","01","16:00","25,2","","17,1","","60","","","","24","","22","","48,3","","99,92","","31","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 17:00","2022","07","01","17:00","25,3","","16,8","","59","","","","24","","23","","48,3","","99,86","","30","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 18:00","2022","07","01","18:00","23,8","","16,9","","65","","","","25","","16","","48,3","","99,84","","29","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 19:00","2022","07","01","19:00","22,2","","16,6","","70","","","","24","","8","","48,3","","99,84","","27","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 20:00","2022","07","01","20:00","20,9","","17,0","","78","","","","25","","21","","40,2","","99,91","","26","","","","Averses de pluie"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-07-01 21:00","2022","07","01","21:00","19,3","","16,2","","82","","","","24","","18","","24,1","","99,89","","","","","","ND"
