"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 00:00","2022","06","01","00:00","8,8","","5,5","","80","","","","5","","15","","24,1","","101,05","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 01:00","2022","06","01","01:00","9,8","","6,0","","77","","","","6","","16","","24,1","","101,03","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 02:00","2022","06","01","02:00","9,4","","6,0","","80","","","","5","","15","","24,1","","101,08","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 03:00","2022","06","01","03:00","8,2","","6,0","","86","","","","4","","8","","48,3","","101,05","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 04:00","2022","06","01","04:00","7,8","","6,0","","88","","","","5","","12","","48,3","","101,08","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 05:00","2022","06","01","05:00","8,6","","5,3","","80","","","","4","","8","","48,3","","101,08","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 06:00","2022","06","01","06:00","10,0","","5,4","","73","","","","6","","18","","24,1","","101,06","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 07:00","2022","06","01","07:00","11,7","","4,1","","59","","","","7","","21","","48,3","","100,99","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 08:00","2022","06","01","08:00","12,8","","2,0","","48","","","","7","","23","","48,3","","100,97","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 09:00","2022","06","01","09:00","13,4","","3,4","","50","","","","4","","16","","48,3","","100,92","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 10:00","2022","06","01","10:00","13,6","","2,4","","47","","","","9","","23","","48,3","","100,80","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 11:00","2022","06","01","11:00","14,6","","3,3","","46","","","","10","","17","","48,3","","100,69","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 12:00","2022","06","01","12:00","15,9","","3,7","","44","","","","5","","9","","48,3","","100,58","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 13:00","2022","06","01","13:00","17,2","","4,0","","41","","","","11","","13","","48,3","","100,46","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 14:00","2022","06","01","14:00","17,7","","4,3","","41","","","","6","","18","","48,3","","100,42","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 15:00","2022","06","01","15:00","17,2","","3,4","","39","","","","6","","19","","48,3","","100,34","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 16:00","2022","06","01","16:00","16,7","","3,6","","41","","","","7","","17","","48,3","","100,27","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 17:00","2022","06","01","17:00","16,1","","5,8","","50","","","","7","","10","","48,3","","100,24","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 18:00","2022","06","01","18:00","15,3","","4,3","","47","","","","7","","13","","48,3","","100,17","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 19:00","2022","06","01","19:00","14,2","","6,2","","58","","","","6","","6","","48,3","","100,15","","","","","","Nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 20:00","2022","06","01","20:00","13,3","","7,3","","67","","","","9","","7","","48,3","","100,09","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 21:00","2022","06","01","21:00","11,5","","9,2","","85","","","","4","","3","","24,1","","100,08","","","","","","Pluie"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 22:00","2022","06","01","22:00","11,1","","9,4","","90","","","","24","","3","","24,1","","100,18","","","","","","Pluie"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-01 23:00","2022","06","01","23:00","11,3","","8,8","","85","","","","36","","5","","24,1","","100,22","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 00:00","2022","06","02","00:00","11,0","","9,4","","90","","","","23","","11","","16,1","","100,02","","","","","","Pluie"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 01:00","2022","06","02","01:00","9,9","","8,6","","92","","","","16","","5","","24,1","","100,02","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 02:00","2022","06","02","02:00","9,1","","8,3","","95","","","","34","","9","","24,1","","99,96","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 03:00","2022","06","02","03:00","9,7","","7,7","","88","","","","35","","5","","24,1","","100,00","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 04:00","2022","06","02","04:00","9,8","","8,1","","89","","","","1","","5","","48,3","","100,07","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 05:00","2022","06","02","05:00","10,1","","8,2","","88","","","","4","","9","","48,3","","100,11","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 06:00","2022","06","02","06:00","12,0","","8,9","","81","","","","3","","4","","48,3","","100,17","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 07:00","2022","06","02","07:00","13,2","","7,6","","69","","","","9","","22","","48,3","","100,20","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 08:00","2022","06","02","08:00","14,1","","6,1","","59","","","","7","","19","","48,3","","100,21","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 09:00","2022","06","02","09:00","15,1","","6,5","","56","","","","9","","22","","48,3","","100,20","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 10:00","2022","06","02","10:00","15,4","","5,8","","52","","","","6","","27","","48,3","","100,15","","","","","","Généralement nuageux"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 11:00","2022","06","02","11:00","16,6","","8,0","","56","","","","6","","19","","48,3","","100,07","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 12:00","2022","06","02","12:00","18,4","","7,4","","48","","","","8","","17","","48,3","","100,02","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 13:00","2022","06","02","13:00","19,3","","5,6","","40","","","","12","","11","","48,3","","99,99","","","","","","Généralement dégagé"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 14:00","2022","06","02","14:00","20,6","","6,9","","40","","","","8","","11","","48,3","","99,91","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 15:00","2022","06","02","15:00","20,9","","6,8","","40","","","","4","","17","","48,3","","99,87","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 16:00","2022","06","02","16:00","20,2","","5,4","","38","","","","9","","15","","48,3","","99,88","","","","","","Généralement dégagé"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 17:00","2022","06","02","17:00","19,5","","6,4","","42","","","","5","","16","","48,3","","99,87","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 18:00","2022","06","02","18:00","18,4","","5,3","","42","","","","7","","16","","48,3","","99,87","","","","","","ND"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 19:00","2022","06","02","19:00","15,8","","5,9","","51","","","","8","","15","","48,3","","99,89","","","","","","Généralement dégagé"
"-71,39","46,79","QUEBEC INTL A","7016293","2022-06-02 20:00","2022","06","02","20:00","13,4","","6,0","","61","","","","6","","12","","24,1","","99,89","","","","","","ND"
