Timestamp,X,Y,Z,qx,qy,qz,qw,PDOP,Sats
1690298097,245659.7867662775,5182498.305758778,90.66382409774278,0.0036130406058227926,0.9992983258037137,0.02469170073524711,-0.027930662331504548,1.333,21
1690298098,245659.7927538983,5182498.309551848,89.82989735969275,-0.017029414754045243,-0.10108145950832505,0.7435717146890772,0.660752330825361,1.333,21
1690298099,245659.7820866755,5182498.299774494,89.81831402893265,-0.019163816129881196,-0.09497854229297494,0.7465301660203548,0.6582587150025915,1.333,21
1690298100,245659.78054591198,5182498.306278877,90.66491065561925,0.0027491509720187217,0.9996077472548255,0.01843245901935932,-0.02090545985061493,1.333,21
1690298101,245659.78486461134,5182498.30634927,90.66048869289722,0.0027752631544500916,0.9995951394397276,0.018840826512721662,-0.021139498083274845,1.333,21
1690298102,245659.78123489433,5182498.305725065,90.65680145765799,0.0027224376581728715,0.9996145418168313,0.018292293270067386,-0.02070623404788631,1.333,21
1690298103,245659.78190216413,5182498.298506112,89.80752062642067,-0.017171313181900773,-0.09326425582400333,0.7463607982375982,0.6587506990078562,1.332,21
1690298104,245659.78268875284,5182498.302063088,89.8151522043143,-0.013564334832619426,-0.0976593682047235,0.7433013361314402,0.6616507993856113,1.332,21
1690298105,245659.7831569138,5182498.310404865,90.65927414719579,0.002531346805075108,0.9996768796547874,0.016760952652444764,-0.018941991268149615,1.332,21
1690298106,245659.7871389822,5182498.304468445,90.65710288274742,0.003125165328103807,0.9994714770899933,0.021479552174495604,-0.024199765775771723,1.332,21
1690298107,245659.7848316747,5182498.301956551,89.81285654284794,-0.016618716886880547,-0.09468932784022044,0.7448639101371317,0.6602541213937434,1.332,21
1690298108,245659.78336180616,5182498.301162796,89.81507798148364,-0.016084910226431284,-0.09860979766633002,0.7459588681785516,0.6584548203582288,1.332,21
1690298109,245659.7803198328,5182498.302269835,89.81045303604766,-0.015175359247736997,-0.09403214274193206,0.7453305365067847,0.6598560873050816,1.332,21
1690298110,245659.78416649232,5182498.303037595,89.8131632156894,-0.017456399584508064,-0.09406149151904104,0.745236665048193,0.6599015252252466,1.332,21
1690298111,245659.77773504905,5182498.304491338,90.66495132910629,0.0029959088432602314,0.9994793084425416,0.02126297384747339,-0.024083655631635826,1.332,21
1690298112,245659.7821264296,5182498.304010585,90.66061222072302,0.0028109392643013162,0.9995473690051835,0.019865192149618835,-0.022417178148171638,1.332,21
1690298113,245659.78614127994,5182498.301553878,89.81758717654692,-0.016780281981876814,-0.09538467191587571,0.7432761939380506,0.6619370710460888,1.332,21
1690298114,245659.7839567445,5182498.300048026,90.6545316719615,0.003359226334416544,0.999378458101176,0.02326364333602406,-0.026271961869729618,1.332,21
1690298115,245659.78504080887,5182498.302373983,90.6626330628371,0.003338356320055801,0.9993818842569313,0.023242783022725217,-0.026162527276708737,1.331,21
1690298116,245659.78627138218,5182498.29623211,89.81126914886269,-0.019670650352767566,-0.09148392170694593,0.7449253215828854,0.6605528160930444,1.331,21
1690298117,245659.78726766925,5182498.301570744,90.65621275949852,0.003354781814701891,0.9993600609408314,0.023680696493118703,-0.0265977188667456,1.331,21
1690298118,245659.7863852144,5182498.300017244,89.80848187979389,-0.02030945034876948,-0.0925574639696047,0.7440861745620526,0.6613292726892231,1.331,21
1690298119,245659.78432109448,5182498.306395559,89.82359381427551,-0.012937456189408609,-0.09509928942471847,0.7439538680136236,0.6613027972463361,1.331,21
1690298120,245659.78201972204,5182498.298195265,89.81111581320616,-0.020790591701560324,-0.09464750571260631,0.7453195435858696,0.6596274546348356,1.331,21
1690298121,245659.77732271262,5182498.296214647,89.80692480711639,-0.018754127277448983,-0.09024487847590397,0.7473459433759544,0.6580107791962343,1.331,21
1690298122,245659.784665008,5182498.3028902775,90.6680605331911,0.0036927727663962906,0.999226991190154,0.02599271169259016,-0.02926025367685397,1.331,21
1690298123,245659.78568192816,5182498.302069634,90.66523829646265,0.0034075518724197007,0.999361489814759,0.023604539059598827,-0.02660501834703379,1.331,21
1690298124,245659.78625880295,5182498.300343057,90.6724471198658,0.003605902704637288,0.9992632412612162,0.025335108370487996,-0.028602524603058906,1.331,21
1690298125,245659.78860389665,5182498.30248282,90.66833736662622,0.0047487084716414385,0.998826604442739,0.03195635714250835,-0.036078459826053774,1.331,21
1690298126,245659.78524421435,5182498.293620605,90.66628648041844,0.004662779118739135,0.9987617725016382,0.032824502594826756,-0.03709086558275547,1.331,21
1690298127,245659.78312317253,5182498.294739332,89.80452090230108,-0.023481030432695504,-0.08852981773400112,0.74565739750056,0.6600046652369171,1.33,21
1690298128,245659.7879234543,5182498.293302949,89.8069294904521,-0.024209318736092757,-0.09129434076419239,0.7443236962424331,0.6611062603264076,1.33,21
1690298129,245659.77588695427,5182498.299693904,89.81271809604307,-0.01669290836183556,-0.09386489146571171,0.7470410852641708,0.6579060311988965,1.33,21
1690298130,245659.77522957852,5182498.299807695,90.65965358415664,0.0031844998001135387,0.9994224575413289,0.022371531889490325,-0.02537961552095296,1.33,21
1690298131,245659.780725497,5182498.30106155,90.6588651942354,0.0034098545291855733,0.9993747731655389,0.023324937514718955,-0.02635114688873736,1.33,21
1690298132,245659.7759618848,5182498.292592052,89.80117310146576,-0.02063109101194689,-0.08941134544590978,0.7475533160206221,0.6578328124195241,1.33,21
1690298133,245659.78015035336,5182498.301819776,89.82315175369824,-0.01504561988278136,-0.0988352560157577,0.7462541320568182,0.6581109267279851,1.33,21
1690298134,245659.78614293484,5182498.296379896,89.80971318343329,-0.02307450284691276,-0.09383327765525648,0.7454310404910719,0.6595418464322317,1.33,21
