theodolite_number , marker_number , status , elevation , azimuth , distance , sec , nsec
1 , 1 , 0 , 1.56444 , 2.36027 , 10.9804 , 1617283261 , 488003490
1 , 2 , 0 , 1.56922 , 2.31239 , 34.4749 , 1617283341 , 91205907
1 , 3 , 0 , 1.57227 , 2.85205 , 42.9557 , 1617283385 , 889889119
1 , 4 , 0 , 1.5773 , 3.41398 , 29.464 , 1617283444 , 292127951
1 , 5 , 0 , 1.57872 , 5.69612 , 23.7048 , 1617283524 , 292114067
1 , 6 , 0 , 1.5681 , 0.184892 , 29.1092 , 1617283581 , 491391649
1 , 7 , 0 , 1.56622 , 1.19312 , 31.118 , 1617283643 , 491215427
1 , 8 , 0 , 1.56724 , 1.90913 , 52.2198 , 1617283743 , 492695337
2 , 1 , 0 , 1.54317 , 0.695972 , 11.2834 , 1616540688 , 847225198
2 , 2 , 0 , 1.56228 , 0.582262 , 34.6866 , 1616540768 , 846202251
2 , 3 , 0 , 1.5668 , 1.1094 , 43.7003 , 1616540814 , 49513744
2 , 4 , 0 , 1.5692 , 1.66262 , 30.5438 , 1616540870 , 849047421
2 , 5 , 0 , 1.56849 , 3.88946 , 23.2718 , 1616540952 , 50483952
2 , 6 , 0 , 1.5594 , 4.69074 , 28.0667 , 1616541012 , 847678668
2 , 7 , 0 , 1.55812 , 5.73591 , 30.209 , 1616541067 , 247981460
2 , 8 , 0 , 1.56267 , 0.168058 , 51.9712 , 1616541172 , 849694441
3 , 1 , 0 , 1.52305 , 2.99398 , 9.8608 , 1616541328 , 539012089
3 , 2 , 0 , 1.55716 , 2.86354 , 33.247 , 1616541410 , 938737058
3 , 3 , 0 , 1.56299 , 3.40771 , 42.463 , 1616541452 , 139600375
3 , 4 , 0 , 1.56386 , 3.98635 , 29.8943 , 1616541512 , 940526602
3 , 5 , 0 , 1.56222 , 6.16098 , 24.6939 , 1616541590 , 541155323
3 , 6 , 0 , 1.55427 , 0.64768 , 28.9082 , 1616541654 , 939999256
3 , 7 , 0 , 1.55251 , 1.68999 , 29.6221 , 1616541713 , 340473661
3 , 8 , 0 , 1.55935 , 2.43787 , 50.6543 , 1616541818 , 542183829
