Point ID;Easting;Northing;Elevation;H. Precision;V. Precision;PDOP;Sats;Date;Time
nor2-5000;245660.649;5182498.315;90.276;0.019;0.032;1.469;17;2023-07-25;15:41:00
nor2-5001;245660.649;5182498.317;90.276;0.019;0.032;1.469;17;2023-07-25;15:41:01
nor2-5002;245660.648;5182498.314;90.276;0.019;0.032;1.469;17;2023-07-25;15:41:02
nor2-5003;245660.648;5182498.31;90.276;0.019;0.032;1.47;17;2023-07-25;15:41:03
nor2-5004;245660.646;5182498.311;90.276;0.019;0.032;1.47;17;2023-07-25;15:41:04
nor2-5005;245660.649;5182498.312;90.271;0.019;0.032;1.47;17;2023-07-25;15:41:05
nor2-5006;245660.651;5182498.309;90.268;0.019;0.032;1.47;17;2023-07-25;15:41:06
nor2-5007;245660.649;5182498.313;90.267;0.019;0.032;1.47;17;2023-07-25;15:41:07
nor2-5008;245660.65;5182498.312;90.263;0.019;0.033;1.47;17;2023-07-25;15:41:08
nor2-5009;245660.648;5182498.31;90.268;0.019;0.033;1.47;17;2023-07-25;15:41:09
nor2-5010;245660.648;5182498.311;90.272;0.019;0.033;1.47;17;2023-07-25;15:41:10
nor2-5011;245660.649;5182498.31;90.274;0.019;0.032;1.47;17;2023-07-25;15:41:11
nor2-5012;245660.652;5182498.312;90.27;0.019;0.033;1.47;17;2023-07-25;15:41:12
nor2-5013;245660.651;5182498.311;90.268;0.019;0.033;1.47;17;2023-07-25;15:41:13
nor2-5014;245660.652;5182498.308;90.279;0.019;0.033;1.47;17;2023-07-25;15:41:14
nor2-5015;245660.65;5182498.312;90.271;0.019;0.033;1.47;17;2023-07-25;15:41:15
nor2-5016;245660.647;5182498.315;90.274;0.019;0.033;1.47;17;2023-07-25;15:41:16
nor2-5017;245660.651;5182498.315;90.273;0.019;0.033;1.47;17;2023-07-25;15:41:17
nor2-5018;245660.654;5182498.316;90.27;0.019;0.033;1.47;17;2023-07-25;15:41:18
nor2-5019;245660.651;5182498.317;90.268;0.019;0.033;1.47;17;2023-07-25;15:41:19
nor2-5020;245660.652;5182498.312;90.273;0.019;0.033;1.47;18;2023-07-25;15:41:20
nor2-5021;245660.652;5182498.315;90.266;0.019;0.033;1.383;18;2023-07-25;15:41:21
nor2-5022;245660.652;5182498.317;90.263;0.019;0.033;1.383;18;2023-07-25;15:41:22
nor2-5023;245660.653;5182498.317;90.268;0.019;0.032;1.384;18;2023-07-25;15:41:23
nor2-5024;245660.653;5182498.314;90.274;0.019;0.032;1.384;18;2023-07-25;15:41:24
nor2-5025;245660.652;5182498.317;90.27;0.019;0.032;1.384;18;2023-07-25;15:41:25
nor2-5026;245660.649;5182498.318;90.273;0.019;0.032;1.401;18;2023-07-25;15:41:26
nor2-5027;245660.652;5182498.318;90.275;0.019;0.032;1.471;17;2023-07-25;15:41:27
nor2-5028;245660.653;5182498.317;90.271;0.019;0.032;1.471;17;2023-07-25;15:41:28
nor2-5029;245660.651;5182498.315;90.268;0.018;0.031;1.471;17;2023-07-25;15:41:29
nor2-5030;245660.652;5182498.32;90.268;0.018;0.032;1.345;17;2023-07-25;15:41:30
nor2-5031;245660.651;5182498.317;90.265;0.018;0.032;1.471;18;2023-07-25;15:41:31
nor2-5032;245660.647;5182498.315;90.265;0.018;0.032;1.471;17;2023-07-25;15:41:32
nor2-5033;245660.651;5182498.315;90.262;0.018;0.032;1.384;18;2023-07-25;15:41:33
nor2-6000;245657.089;5182500.431;90.213;0.016;0.027;1.266;18;2023-07-25;15:52:19
nor2-6001;245657.089;5182500.429;90.215;0.016;0.027;1.266;18;2023-07-25;15:52:20
nor2-6002;245657.09;5182500.424;90.216;0.016;0.027;1.266;18;2023-07-25;15:52:21
nor2-6003;245657.09;5182500.431;90.215;0.016;0.027;1.266;18;2023-07-25;15:52:22
nor2-6004;245657.093;5182500.43;90.215;0.016;0.027;1.266;18;2023-07-25;15:52:23
nor2-6005;245657.219;5182500.295;90.236;0.018;0.028;1.266;18;2023-07-25;15:52:24
nor2-6006;245657.701;5182499.718;90.232;0.017;0.028;1.266;18;2023-07-25;15:52:25
nor2-6007;245658.363;5182498.908;90.224;0.017;0.027;1.266;18;2023-07-25;15:52:26
nor2-6008;245659.086;5182497.984;90.221;0.016;0.026;1.266;18;2023-07-25;15:52:27
nor2-6009;245659.805;5182497.087;90.228;0.016;0.027;1.266;17;2023-07-25;15:52:28
nor2-6010;245660.64;5182495.983;90.231;0.018;0.03;1.306;17;2023-07-25;15:52:29
nor2-6011;245661.53;5182494.819;90.214;0.019;0.031;1.306;17;2023-07-25;15:52:30
nor2-6012;245662.409;5182493.616;90.238;0.023;0.038;1.306;17;2023-07-25;15:52:31
nor2-6013;245663.267;5182492.45;90.258;0.022;0.037;1.306;17;2023-07-25;15:52:32
nor2-6014;245664.169;5182491.256;90.279;0.022;0.035;1.306;16;2023-07-25;15:52:33
nor2-6015;245664.975;5182490.038;90.269;0.022;0.035;1.306;16;2023-07-25;15:52:34
nor2-6016;245665.762;5182488.788;90.279;0.026;0.041;1.383;15;2023-07-25;15:52:35
nor2-6017;245666.486;5182487.514;90.281;0.029;0.045;1.383;15;2023-07-25;15:52:36
nor2-6018;245667.207;5182486.227;90.305;0.021;0.033;1.483;15;2023-07-25;15:52:37
nor2-6019;245667.857;5182484.908;90.32;0.019;0.03;1.483;17;2023-07-25;15:52:38
nor2-6020;245668.539;5182483.595;90.317;0.018;0.027;1.306;17;2023-07-25;15:52:39
nor2-6021;245669.249;5182482.281;90.314;0.018;0.027;1.306;16;2023-07-25;15:52:40
nor2-6022;245670;5182480.986;90.324;0.022;0.033;1.374;17;2023-07-25;15:52:41
nor2-6023;245670.814;5182479.711;90.304;0.025;0.037;1.374;17;2023-07-25;15:52:42
nor2-6024;245671.684;5182478.474;90.303;0.027;0.04;1.267;18;2023-07-25;15:52:43
nor2-6025;245672.517;5182477.321;90.327;0.027;0.039;1.267;18;2023-07-25;15:52:44
nor2-6026;245673.387;5182476.046;90.289;0.033;0.051;1.267;17;2023-07-25;15:52:45
nor2-6027;245674.277;5182474.815;90.288;0.021;0.033;1.267;17;2023-07-25;15:52:46
nor2-6028;245675.145;5182473.629;90.249;0.021;0.033;1.267;17;2023-07-25;15:52:47
nor2-6029;245675.982;5182472.438;90.265;0.024;0.035;1.267;16;2023-07-25;15:52:48
nor2-6030;245676.828;5182471.257;90.29;0.022;0.031;1.267;16;2023-07-25;15:52:49
