Point ID;Easting;Northing;Elevation;H. Precision;V. Precision;PDOP;Sats;Date;Time
nor3-5000;245659.831;5182498.339;90.297;0.012;0.02;1.256;22;2023-07-25;15:41:03
nor3-5001;245659.83;5182498.34;90.295;0.012;0.02;1.256;22;2023-07-25;15:41:04
nor3-5002;245659.832;5182498.34;90.294;0.012;0.02;1.256;22;2023-07-25;15:41:05
nor3-5003;245659.833;5182498.337;90.292;0.012;0.02;1.256;22;2023-07-25;15:41:06
nor3-5004;245659.833;5182498.338;90.293;0.012;0.02;1.256;22;2023-07-25;15:41:07
nor3-5005;245659.831;5182498.336;90.292;0.012;0.02;1.256;21;2023-07-25;15:41:08
nor3-5006;245659.831;5182498.336;90.293;0.012;0.02;1.286;21;2023-07-25;15:41:09
nor3-5007;245659.833;5182498.338;90.297;0.012;0.02;1.286;21;2023-07-25;15:41:10
nor3-5008;245659.834;5182498.338;90.298;0.012;0.02;1.286;21;2023-07-25;15:41:11
nor3-5009;245659.834;5182498.341;90.295;0.012;0.02;1.286;21;2023-07-25;15:41:12
nor3-5010;245659.832;5182498.339;90.293;0.012;0.019;1.256;22;2023-07-25;15:41:13
nor3-5011;245659.833;5182498.336;90.3;0.012;0.02;1.256;22;2023-07-25;15:41:14
nor3-5012;245659.833;5182498.341;90.293;0.012;0.02;1.256;22;2023-07-25;15:41:15
nor3-5013;245659.833;5182498.343;90.297;0.012;0.02;1.256;22;2023-07-25;15:41:16
nor3-5014;245659.832;5182498.342;90.296;0.012;0.02;1.256;22;2023-07-25;15:41:17
nor3-5015;245659.834;5182498.344;90.293;0.012;0.02;1.256;22;2023-07-25;15:41:18
nor3-5016;245659.833;5182498.343;90.292;0.012;0.02;1.256;22;2023-07-25;15:41:19
nor3-5017;245659.834;5182498.339;90.294;0.012;0.019;1.256;22;2023-07-25;15:41:20
nor3-5018;245659.834;5182498.341;90.289;0.012;0.019;1.256;22;2023-07-25;15:41:21
nor3-5019;245659.834;5182498.343;90.292;0.012;0.02;1.256;22;2023-07-25;15:41:22
nor3-5020;245659.834;5182498.344;90.289;0.012;0.02;1.256;22;2023-07-25;15:41:23
nor3-5021;245659.835;5182498.342;90.297;0.012;0.02;1.256;22;2023-07-25;15:41:24
nor3-5022;245659.833;5182498.345;90.297;0.012;0.019;1.256;22;2023-07-25;15:41:25
nor3-5023;245659.829;5182498.344;90.301;0.012;0.02;1.256;23;2023-07-25;15:41:26
nor3-5024;245659.832;5182498.343;90.296;0.012;0.019;1.256;22;2023-07-25;15:41:27
nor3-5025;245659.832;5182498.344;90.298;0.012;0.02;1.256;22;2023-07-25;15:41:28
nor3-5026;245659.832;5182498.342;90.296;0.012;0.02;1.186;23;2023-07-25;15:41:29
nor3-5027;245659.832;5182498.346;90.295;0.012;0.02;1.186;23;2023-07-25;15:41:30
nor3-5028;245659.831;5182498.345;90.29;0.012;0.02;1.189;24;2023-07-25;15:41:31
nor3-5029;245659.828;5182498.342;90.291;0.012;0.02;1.189;23;2023-07-25;15:41:32
nor3-6000;245657.251;5182501.233;90.304;0.011;0.018;1.103;24;2023-07-25;15:52:19
nor3-6001;245657.251;5182501.23;90.307;0.011;0.018;1.103;24;2023-07-25;15:52:20
nor3-6002;245657.25;5182501.229;90.303;0.011;0.017;1.103;24;2023-07-25;15:52:21
nor3-6003;245657.251;5182501.232;90.306;0.011;0.018;1.103;24;2023-07-25;15:52:22
nor3-6004;245657.251;5182501.231;90.302;0.011;0.018;1.103;24;2023-07-25;15:52:23
nor3-6005;245657.353;5182501.101;90.305;0.012;0.019;1.103;24;2023-07-25;15:52:24
nor3-6006;245657.845;5182500.527;90.312;0.011;0.018;1.104;24;2023-07-25;15:52:25
nor3-6007;245658.51;5182499.722;90.31;0.012;0.018;1.104;24;2023-07-25;15:52:26
nor3-6008;245659.238;5182498.804;90.3;0.011;0.018;1.104;24;2023-07-25;15:52:27
nor3-6009;245659.963;5182497.888;90.288;0.012;0.019;1.104;22;2023-07-25;15:52:28
nor3-6010;245660.808;5182496.789;90.307;0.013;0.02;1.161;21;2023-07-25;15:52:29
nor3-6011;245661.702;5182495.616;90.312;0.016;0.023;1.161;23;2023-07-25;15:52:30
nor3-6012;245662.597;5182494.418;90.3;0.018;0.027;1.125;23;2023-07-25;15:52:31
nor3-6013;245663.457;5182493.227;90.332;0.019;0.027;1.125;23;2023-07-25;15:52:32
nor3-6014;245664.372;5182492.045;90.332;0.019;0.027;1.125;22;2023-07-25;15:52:33
nor3-6015;245665.207;5182490.813;90.34;0.018;0.026;1.125;23;2023-07-25;15:52:34
nor3-6016;245666.02;5182489.562;90.322;0.017;0.026;1.125;22;2023-07-25;15:52:35
nor3-6017;245666.755;5182488.285;90.339;0.017;0.026;1.125;22;2023-07-25;15:52:36
nor3-6018;245667.509;5182486.999;90.367;0.017;0.024;1.159;21;2023-07-25;15:52:37
nor3-6019;245668.164;5182485.673;90.38;0.017;0.025;1.159;21;2023-07-25;15:52:38
nor3-6020;245668.844;5182484.365;90.383;0.016;0.023;1.16;22;2023-07-25;15:52:39
nor3-6021;245669.533;5182483.043;90.407;0.017;0.026;1.16;23;2023-07-25;15:52:40
nor3-6022;245670.275;5182481.762;90.396;0.016;0.022;1.104;24;2023-07-25;15:52:41
