Point ID;Easting;Northing;Elevation;H. Precision;V. Precision;PDOP;Sats;Date;Time
nor1-5000;245659.802;5182497.73;90.201;0.012;0.019;1.256;22;2023-07-25;15:41:00
nor1-5001;245659.806;5182497.73;90.197;0.012;0.019;1.256;22;2023-07-25;15:41:01
nor1-5002;245659.804;5182497.728;90.2;0.012;0.02;1.256;22;2023-07-25;15:41:02
nor1-5003;245659.804;5182497.724;90.198;0.012;0.02;1.256;22;2023-07-25;15:41:03
nor1-5004;245659.803;5182497.728;90.202;0.012;0.02;1.256;22;2023-07-25;15:41:04
nor1-5005;245659.806;5182497.729;90.199;0.012;0.02;1.256;22;2023-07-25;15:41:05
nor1-5006;245659.805;5182497.73;90.195;0.012;0.02;1.256;22;2023-07-25;15:41:06
nor1-5007;245659.804;5182497.729;90.196;0.012;0.02;1.256;22;2023-07-25;15:41:07
nor1-5008;245659.804;5182497.728;90.196;0.012;0.02;1.256;20;2023-07-25;15:41:08
nor1-5009;245659.804;5182497.731;90.198;0.012;0.02;1.256;20;2023-07-25;15:41:09
nor1-5010;245659.801;5182497.725;90.196;0.012;0.02;1.256;20;2023-07-25;15:41:10
nor1-5011;245659.805;5182497.725;90.204;0.012;0.019;1.256;20;2023-07-25;15:41:11
nor1-5012;245659.807;5182497.73;90.205;0.012;0.02;1.256;20;2023-07-25;15:41:12
nor1-5013;245659.805;5182497.733;90.196;0.013;0.021;1.256;22;2023-07-25;15:41:13
nor1-5014;245659.805;5182497.726;90.202;0.012;0.02;1.256;22;2023-07-25;15:41:14
nor1-5015;245659.803;5182497.731;90.197;0.012;0.02;1.256;21;2023-07-25;15:41:15
nor1-5016;245659.802;5182497.73;90.199;0.012;0.02;1.256;20;2023-07-25;15:41:16
nor1-5017;245659.803;5182497.731;90.198;0.012;0.02;1.286;20;2023-07-25;15:41:17
nor1-5018;245659.807;5182497.734;90.198;0.012;0.02;1.286;20;2023-07-25;15:41:18
nor1-5019;245659.803;5182497.737;90.197;0.012;0.02;1.256;20;2023-07-25;15:41:19
nor1-5020;245659.804;5182497.732;90.205;0.012;0.02;1.256;20;2023-07-25;15:41:20
nor1-5021;245659.807;5182497.736;90.201;0.012;0.02;1.256;20;2023-07-25;15:41:21
nor1-5022;245659.806;5182497.738;90.201;0.012;0.02;1.256;20;2023-07-25;15:41:22
nor1-5023;245659.807;5182497.738;90.198;0.012;0.02;1.256;21;2023-07-25;15:41:23
nor1-5024;245659.807;5182497.735;90.202;0.013;0.02;1.256;21;2023-07-25;15:41:24
nor1-5025;245659.804;5182497.736;90.207;0.012;0.02;1.189;21;2023-07-25;15:41:25
nor1-5026;245659.802;5182497.735;90.209;0.012;0.02;1.189;22;2023-07-25;15:41:26
nor1-5027;245659.804;5182497.734;90.203;0.013;0.02;1.189;20;2023-07-25;15:41:27
nor1-5028;245659.806;5182497.738;90.201;0.013;0.021;1.189;20;2023-07-25;15:41:28
nor1-5029;245659.806;5182497.731;90.194;0.013;0.02;1.217;20;2023-07-25;15:41:29
nor1-5030;245659.805;5182497.737;90.198;0.013;0.02;1.217;20;2023-07-25;15:41:30
nor1-5031;245659.805;5182497.735;90.191;0.013;0.02;1.256;21;2023-07-25;15:41:31
nor1-5032;245659.802;5182497.735;90.194;0.012;0.019;1.256;20;2023-07-25;15:41:32
nor1-6000;245656.656;5182501.373;90.193;0.011;0.017;1.103;24;2023-07-25;15:52:19
nor1-6001;245656.655;5182501.371;90.191;0.011;0.017;1.103;24;2023-07-25;15:52:20
nor1-6002;245656.658;5182501.368;90.198;0.011;0.017;1.103;24;2023-07-25;15:52:21
nor1-6003;245656.656;5182501.372;90.197;0.011;0.017;1.103;24;2023-07-25;15:52:22
nor1-6004;245656.657;5182501.369;90.196;0.011;0.017;1.103;24;2023-07-25;15:52:23
nor1-6005;245656.756;5182501.227;90.201;0.011;0.017;1.103;24;2023-07-25;15:52:24
nor1-6006;245657.245;5182500.649;90.206;0.012;0.019;1.104;24;2023-07-25;15:52:25
nor1-6007;245657.912;5182499.838;90.196;0.012;0.018;1.104;24;2023-07-25;15:52:26
nor1-6008;245658.643;5182498.925;90.197;0.011;0.017;1.104;24;2023-07-25;15:52:27
nor1-6009;245659.364;5182498.02;90.191;0.012;0.018;1.104;23;2023-07-25;15:52:28
nor1-6010;245660.209;5182496.934;90.202;0.012;0.018;1.121;24;2023-07-25;15:52:29
nor1-6011;245661.113;5182495.751;90.189;0.012;0.018;1.121;23;2023-07-25;15:52:30
nor1-6012;245662.006;5182494.582;90.189;0.013;0.02;1.125;22;2023-07-25;15:52:31
nor1-6013;245662.867;5182493.389;90.245;0.013;0.02;1.125;22;2023-07-25;15:52:32
nor1-6014;245663.782;5182492.209;90.23;0.014;0.022;1.125;23;2023-07-25;15:52:33
nor1-6015;245664.623;5182491.005;90.218;0.015;0.024;1.125;22;2023-07-25;15:52:34
nor1-6016;245665.453;5182489.77;90.236;0.015;0.022;1.125;22;2023-07-25;15:52:35
nor1-6017;245666.193;5182488.511;90.233;0.016;0.024;1.125;21;2023-07-25;15:52:36
nor1-6018;245666.945;5182487.217;90.245;0.016;0.024;1.207;21;2023-07-25;15:52:37
nor1-6019;245667.614;5182485.928;90.285;0.015;0.023;1.207;22;2023-07-25;15:52:38
nor1-6020;245668.278;5182484.59;90.272;0.014;0.021;1.117;23;2023-07-25;15:52:39
nor1-6021;245668.961;5182483.264;90.276;0.014;0.02;1.117;24;2023-07-25;15:52:40
nor1-6022;245669.706;5182481.984;90.277;0.014;0.021;1.104;24;2023-07-25;15:52:41
nor1-6023;245670.479;5182480.691;90.293;0.014;0.022;1.104;22;2023-07-25;15:52:42
nor1-6024;245671.327;5182479.439;90.28;0.016;0.023;1.122;22;2023-07-25;15:52:43
nor1-6025;245672.152;5182478.277;90.267;0.016;0.023;1.122;23;2023-07-25;15:52:44
nor1-6026;245673.011;5182477.016;90.287;0.017;0.023;1.104;22;2023-07-25;15:52:45
nor1-6027;245673.882;5182475.791;90.248;0.016;0.022;1.104;22;2023-07-25;15:52:46
nor1-6028;245674.767;5182474.595;90.215;0.016;0.024;1.104;20;2023-07-25;15:52:47
nor1-6029;245675.585;5182473.391;90.193;0.018;0.027;1.104;20;2023-07-25;15:52:48
nor1-6030;245676.437;5182472.191;90.236;0.019;0.026;1.296;20;2023-07-25;15:52:49
nor1-6031;245677.304;5182471.002;90.226;0.018;0.025;1.296;20;2023-07-25;15:52:50
nor1-6032;245678.205;5182469.789;90.251;0.018;0.026;1.122;22;2023-07-25;15:52:51
nor1-6033;245679.081;5182468.596;90.232;0.018;0.027;1.122;22;2023-07-25;15:52:52
nor1-6034;245679.926;5182467.436;90.218;0.015;0.021;1.123;22;2023-07-25;15:52:53
nor1-6035;245680.795;5182466.244;90.204;0.014;0.022;1.123;23;2023-07-25;15:52:54
nor1-6036;245681.618;5182464.981;90.236;0.016;0.022;1.126;22;2023-07-25;15:52:55
nor1-6037;245682.436;5182463.756;90.222;0.018;0.026;1.126;22;2023-07-25;15:52:56
nor1-6038;245683.191;5182462.521;90.211;0.016;0.024;1.16;22;2023-07-25;15:52:57
nor1-6039;245683.978;5182461.275;90.244;0.017;0.026;1.16;21;2023-07-25;15:52:58
nor1-6040;245684.74;5182460.018;90.243;0.019;0.032;1.193;20;2023-07-25;15:52:59
nor1-6041;245685.492;5182458.722;90.247;0.02;0.032;1.193;19;2023-07-25;15:53:00
nor1-6042;245686.211;5182457.407;90.268;0.023;0.034;1.252;21;2023-07-25;15:53:01
nor1-6043;245686.881;5182456.07;90.268;0.02;0.03;1.252;21;2023-07-25;15:53:02
nor1-6044;245687.7;5182454.895;90.274;0.016;0.024;1.194;19;2023-07-25;15:53:03
nor1-6045;245688.582;5182453.682;90.277;0.016;0.023;1.194;21;2023-07-25;15:53:04
nor1-6046;245689.448;5182452.492;90.243;0.016;0.023;1.126;20;2023-07-25;15:53:05
nor1-6047;245690.305;5182451.32;90.286;0.017;0.026;1.126;20;2023-07-25;15:53:06
nor1-6048;245691.184;5182450.133;90.281;0.018;0.028;1.179;21;2023-07-25;15:53:07
nor1-6049;245692.024;5182448.986;90.325;0.017;0.026;1.179;21;2023-07-25;15:53:08
nor1-6050;245692.939;5182447.738;90.307;0.015;0.023;1.179;22;2023-07-25;15:53:09
nor1-6051;245693.812;5182446.533;90.351;0.017;0.026;1.179;22;2023-07-25;15:53:10
nor1-6052;245694.705;5182445.335;90.321;0.016;0.025;1.157;21;2023-07-25;15:53:11
nor1-6053;245695.573;5182444.156;90.3;0.015;0.024;1.157;22;2023-07-25;15:53:12
nor1-6054;245696.427;5182442.959;90.316;0.013;0.021;1.105;22;2023-07-25;15:53:13
nor1-6055;245697.305;5182441.737;90.331;0.013;0.021;1.105;22;2023-07-25;15:53:14
nor1-6056;245698.155;5182440.523;90.315;0.012;0.02;1.105;24;2023-07-25;15:53:15
nor1-6057;245698.994;5182439.288;90.306;0.013;0.021;1.105;23;2023-07-25;15:53:16
