Time,X,Y,Z,qx,qy,qz,qw
51102.4,326362.896868505,5183158.465682464,59.06872953592215,-0.0197923148430365,-0.00595519870445818,-0.4280270351946654,0.90352955514693
51102.6,326362.89682667167,5183158.464280709,59.06725028272559,-0.02149235690064078,-0.005464771687503162,-0.4285091264552871,0.9032652674656463
51102.8,326362.89894953877,5183158.465035437,59.07077102308174,-0.02286313046764653,-0.004708235286193927,-0.42757750420027857,0.9036772585871408
51103.0,326362.89752445865,5183158.467967728,59.06929142046695,-0.015230706515583121,-0.008001694425060485,-0.4284541795286599,0.9033996980903785
51103.2,326362.8961093953,5183158.466206687,59.06845143809437,-0.018180797742084528,-0.005675253070769462,-0.428806270367177,0.9031956779069725
51103.4,326362.8961061189,5183158.46677022,59.06887909757696,-0.024757791444518642,-0.005005520944839286,-0.42753621636688377,0.903645273443927
51103.6,326362.8979541435,5183158.467611641,59.070713493207776,-0.0195938287965689,-0.005622364502559055,-0.4291635696985635,0.9029967338446343
51103.8,326362.8973222883,5183158.46636196,59.071242717594316,-0.020623991208617402,-0.006874559849227863,-0.42776998022379575,0.9036261591127382
51104.0,326362.89778272406,5183158.464882596,59.0688306949246,-0.021154527924535073,-0.005454284644097167,-0.42783776104162274,0.9035914934051794
51104.2,326362.8975913403,5183158.465335792,59.067580385047954,-0.02091023014318267,-0.0047089008340946824,-0.42802563955104167,0.9035123908476382
51104.4,326362.89837765245,5183158.463836437,59.064956316070145,-0.01627931164170638,-0.006399860922891593,-0.4285233414503555,0.9033613737729005
51104.6,326362.89658238896,5183158.463669867,59.07109863650115,-0.01622458964771967,-0.006070639137069863,-0.4285820146507958,0.9033367958569472
51104.8,326362.8972419559,5183158.464933359,59.065140502030104,-0.015589880556208587,-0.00589044924888107,-0.4286353829923171,0.9033238437453752
51105.0,326362.8972043151,5183158.466043859,59.071667767551254,-0.01945087966771399,-0.00674299667294051,-0.42854148990762253,0.9032875437554622
51105.2,326362.89810146956,5183158.465756776,59.0703929113712,-0.024132263304490496,-0.005680035081780029,-0.42829974799738424,0.9032965719710495
51105.4,326362.8967969049,5183158.464965166,59.07186099845896,-0.021694125487816386,-0.0054261063728999635,-0.4290353555869757,0.9030108448658334
